city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Leuven,50.879589,4.70093,279.46466,275.09686,4.367798,287.2324,279.1164,8.115997,295.26617,286.4806,8.7855835,287.7382,281.35117,6.387024,5.225806451612903,2.5483870967741935
Leverkusen,51.0303,6.98432,278.74277,274.43405,4.308716,287.15433,279.0455,8.108826,295.62552,286.79623,8.829285,287.27225,281.0466,6.225647,6.806451612903226,3.096774193548387
Lille,50.632969,3.05858,280.1552,275.71243,4.4427795,287.11502,279.3993,7.7157288,294.9501,286.50958,8.440521,288.1314,281.8465,6.284912,3.3548387096774195,1.967741935483871
Limoges,45.831532,1.2578,281.18665,275.4676,5.719055,288.72943,279.66547,9.063965,297.4123,287.03192,10.380371,289.6376,281.61688,8.020721,12.03225806451613,3.838709677419355
Lisbon,38.716671,-9.13333,287.85522,283.31918,4.5360413,291.2736,285.75623,5.5173645,297.09296,290.37088,6.7220764,293.63885,288.4392,5.199646,1.6129032258064515,1.1935483870967742
Liverpool,53.41058,-2.97794,280.596,276.96075,3.635254,284.75607,279.3828,5.3732605,291.25888,285.90738,5.3515015,286.57352,282.19308,4.380432,0.06451612903225806,0.06451612903225806
Livorno,43.542641,10.316,284.37268,280.48108,3.8916016,289.45416,284.85696,4.5971985,298.91962,294.0267,4.892914,292.52402,288.2273,4.2967224,3.7096774193548385,2.064516129032258
Liège,50.633732,5.56749,278.41727,274.21167,4.205597,286.48065,278.52704,7.9536133,294.68698,285.97974,8.707245,286.82413,280.64847,6.175659,4.258064516129032,2.3225806451612905
Ljubljana,46.051079,14.50513,276.951,270.64236,6.3086243,287.1552,278.0078,9.1474,297.00986,287.34442,9.665436,287.0312,279.70828,7.3229065,5.483870967741935,2.4193548387096775
London,51.50853,-0.12574,280.8168,276.13525,4.681549,286.33276,279.10568,7.2270813,293.96295,285.99374,7.969208,287.7691,281.5854,6.183716,1.096774193548387,0.6774193548387096
Lublin,51.25,22.566669,274.49405,269.87494,4.61911,286.2763,277.15192,9.12439,296.9039,286.5782,10.325714,285.73596,278.4682,7.267761,7.516129032258065,3.3225806451612905
Lucca,43.843571,10.50585,281.85535,276.56815,5.287201,288.58615,281.87888,6.7072754,298.47528,291.07483,7.4004517,290.7292,284.6256,6.1035767,4.161290322580645,2.3870967741935485
Luimneach,52.664719,-8.62306,281.3004,276.51508,4.7853394,285.28458,278.51047,6.774109,290.85315,284.31323,6.539917,286.41385,280.8585,5.555359,0.0,0.0
Luton,51.879669,-0.41748,280.7002,275.99576,4.7044373,286.3067,278.9252,7.3815002,293.9905,285.83438,8.156128,287.66302,281.3874,6.275635,1.2903225806451613,0.8064516129032258
Lyon,45.748459,4.84671,280.4708,274.31577,6.1550293,289.5589,279.85815,9.700745,299.28165,288.30774,10.973907,289.82214,281.6103,8.211853,21.93548387096774,7.419354838709677
Lübeck,53.868931,10.68729,277.2716,273.5658,3.7058105,285.17065,277.73596,7.4346924,294.3944,286.15512,8.239288,286.14328,280.58893,5.554352,2.064516129032258,1.096774193548387
Maastricht,50.848331,5.68889,278.95557,274.68994,4.265625,287.00803,278.92123,8.086792,295.20764,286.4058,8.801849,287.3543,281.05573,6.298584,5.806451612903226,2.774193548387097
Madrid,40.4165,-3.70256,283.86023,275.3312,8.529022,291.92172,280.7467,11.175018,304.31363,290.52917,13.784454,293.35175,283.09546,10.256287,70.06451612903226,24.70967741935484
Magdeburg,52.127731,11.62916,277.42038,273.04483,4.3755493,286.78308,278.08383,8.699249,296.31024,286.53897,9.771271,286.80704,280.1126,6.6944275,8.03225806451613,2.967741935483871
Mainz,49.984192,8.2791,277.82147,273.3356,4.4858704,287.332,278.69656,8.635437,296.65634,286.98288,9.673462,286.99228,280.23495,6.757324,9.064516129032258,3.6451612903225805
Malmö,55.605869,13.00073,276.48044,273.16992,3.3105164,283.11276,276.90866,6.2041016,292.8474,286.23737,6.6100464,285.16412,280.77454,4.3895874,0.0,0.0
